sma_length,frequency,anchor,label,is_anchor_variant,cagr,sharpe,annualized_vol,max_drawdown,annual_turnover,avg_trade_cost_bps,total_cost_bps_annualized,n_rebalances,n_short_period_fallbacks
175,monthly,14.0,monthly_14,True,0.09197538620727141,0.40488902302499447,0.17064436453892873,0.5534287307865733,3.35360337027437,14.849556406525165,50.07411935466446,348,0
175,monthly,15.0,monthly_15,True,0.09450593452303191,0.4256728471164514,0.16825733387465644,0.513581779286419,3.3471841828932085,14.849065240347494,49.905579081104065,348,0
175,monthly,16.0,monthly_16,True,0.09562158363959994,0.4290057562846203,0.1695507027811506,0.48854256583148814,3.4114053784743525,14.851744116050407,50.8811078648538,348,1
175,monthly,17.0,monthly_17,True,0.09746571363633616,0.4393582319300102,0.16975295340280225,0.477188848985892,3.4624563128358834,14.838471399565373,51.6409304064348,348,1
175,monthly,18.0,monthly_18,True,0.0959641473356092,0.43196301961904654,0.1691829806071744,0.4863084116847277,3.4469237838233417,14.845570861989124,51.43690158967776,348,1
175,monthly,19.0,monthly_19,True,0.0943468406132435,0.42058053941701073,0.16991628891797828,0.5108475883987491,3.401891789330786,14.851916316652542,50.780943615191234,348,1
175,monthly,20.0,monthly_20,True,0.09620319816442113,0.427442870405356,0.1715313251815531,0.5054977278950763,3.3357450990328914,14.861267566266202,49.81339494786552,348,41
175,monthly,21.0,monthly_21,True,0.09598815492874757,0.4284762470517916,0.17061575587299138,0.5151289829430878,3.298600392036962,14.861905212379158,49.23431794218843,347,115
175,semi_monthly,,semi_monthly,False,0.08863662980563092,0.3872488313827476,0.16979592528778575,0.5327584067653566,4.829692735793341,14.858822572627949,72.13813116453184,695,0
200,daily,,daily,True,0.057348161167632306,0.21175096953320582,0.16276102574276113,0.6500790630340231,16.041808687374033,14.870536377014686,239.95895976182877,7299,0
200,weekly,1.0,weekly_01,True,0.07705712944769605,0.326652098542209,0.16584547757409346,0.5574899248554606,7.045362134985353,14.895218613311997,105.45960692798258,1514,0
200,weekly,2.0,weekly_02,True,0.08058334542785572,0.34682480591116993,0.1663663852182779,0.5296959135994045,6.630650267421735,14.865289920704052,99.0985776520482,1513,1
200,weekly,3.0,weekly_03,True,0.08050985584118875,0.34760101551098643,0.16578346180057066,0.5266748085981507,6.62356587041512,14.881982288969839,99.09035622572844,1513,2
200,weekly,4.0,weekly_04,True,0.07689771872989981,0.3252307713351001,0.16608011088182917,0.582071901501925,6.7799878791283374,14.886819676431617,101.56130720123927,1513,4
200,weekly,5.0,weekly_05,True,0.07342403446753254,0.30334501637876676,0.1666112036600667,0.5850504227603821,6.936251299362494,14.887847663087399,103.83867592827961,1513,263
200,monthly,1.0,monthly_01,True,0.08627028627210498,0.37173752953237105,0.1705152831554546,0.567399339762513,2.999634427761704,14.896526761024246,44.93071199404015,348,0
200,monthly,2.0,monthly_02,True,0.0868786454613093,0.37436019824516287,0.1709457618542455,0.5589555725011845,3.0330711900283593,14.87018060164897,45.376499044576626,348,0
200,monthly,3.0,monthly_03,True,0.08495474480797793,0.3636638988091892,0.17068339432879095,0.5433360520359453,3.0484119908609215,14.874577318391461,45.62017307710707,348,0
200,monthly,4.0,monthly_04,True,0.08780431087268226,0.3826591993473858,0.16965737350368032,0.532384072099999,3.049569068795814,14.87176582475544,45.63230910592564,348,0
200,monthly,5.0,monthly_05,True,0.08265743124731428,0.35038151781160287,0.17059711213155576,0.5302341525256055,3.105948658774863,14.8901276208174,46.51087890548621,348,0
200,monthly,6.0,monthly_06,True,0.08253619746589425,0.3518681642905908,0.16953179444857733,0.5173542528131514,3.1511835180182413,14.922479584487574,47.262247607844,348,0
200,monthly,7.0,monthly_07,True,0.09115536069465624,0.4032936799199293,0.169286075952957,0.439953526861912,2.9949075368200915,14.90256602458436,44.85738611034211,348,0
200,monthly,8.0,monthly_08,True,0.08677911823763962,0.37782945884562735,0.16911270568598633,0.5226687878074866,3.0591026109974533,14.904463251698038,45.84972354486512,348,0
200,monthly,9.0,monthly_09,True,0.08693675448112126,0.3757947654864129,0.17044781939373127,0.5116044077453948,3.150306417643554,14.881016821759982,47.159972095906255,348,0
200,monthly,10.0,monthly_10,True,0.08827363075676642,0.386777215783666,0.16906444310555577,0.5155403884560463,3.200253235627835,14.882588870504378,47.911736570807236,348,0
200,monthly,11.0,monthly_11,True,0.09598966100935358,0.4327480795164701,0.16893501856011736,0.4738274880320905,3.119104994777464,14.878550631892086,46.68336721545605,348,0
200,monthly,12.0,monthly_12,True,0.09124871065121187,0.4010074137523783,0.17048401636046523,0.5166898586505102,3.0282651697163248,14.87167525339943,45.31089318168369,348,0
200,monthly,13.0,monthly_13,True,0.08749815687382645,0.37871621228038055,0.17061535422625548,0.5449610961343011,3.097886215083841,14.870162640729262,46.333621493151284,348,0
200,monthly,14.0,monthly_14,True,0.08926973049183906,0.389153698947126,0.17059165699071352,0.5596031259987659,3.0854181128007405,14.87143436477972,46.16105132369576,348,0
200,monthly,15.0,monthly_15,True,0.09314849691901217,0.41925894025290783,0.16759366112084065,0.509066266526324,3.0989977625191005,14.863063493220762,46.27036302928269,348,0
200,monthly,16.0,monthly_16,True,0.09493705156805898,0.42791440596473124,0.1683834299554152,0.47212360578137114,3.154413810564659,14.872992831408933,47.136625423447676,348,1
200,monthly,17.0,monthly_17,True,0.09543856788138472,0.42962631860598727,0.16887981153580575,0.4856401154527763,3.177217083438928,14.875222172000019,47.50305010433206,348,1
200,monthly,18.0,monthly_18,True,0.0951956500093245,0.42892072251526514,0.16859128050724428,0.4825757620088641,3.1911788749919894,14.855491817214943,47.660036579576364,348,1
200,monthly,19.0,monthly_19,True,0.09020940208053818,0.39749184923002123,0.1693771735107813,0.5181529870407653,3.1945712613128325,14.876112029278591,47.76537696175851,348,1
200,monthly,20.0,monthly_20,True,0.09211897718438533,0.4075066436562795,0.16990059450024597,0.5135209388572803,3.1529929860854113,14.871676397290699,47.152709414383004,348,41
200,monthly,21.0,monthly_21,True,0.09338126115255263,0.41481194235658797,0.16995148352688078,0.5126780175437815,3.073701832454657,14.868634576684219,45.94380417065048,347,115
200,semi_monthly,,semi_monthly,False,0.08395669227603642,0.3624652588190012,0.16849431669850082,0.5435085403365445,4.541249317942224,14.86272437068259,67.9108377090242,695,0
225,daily,,daily,True,0.05490656331725852,0.19698062628037494,0.16257033880730132,0.6493525428699636,15.18211311977396,14.890111366263573,227.38381713653223,7299,0
225,weekly,1.0,weekly_01,True,0.07736520248927614,0.33004074457610527,0.16507612232807037,0.5578832027442302,6.660904835041427,14.900116447088726,99.7475732168518,1514,0
225,weekly,2.0,weekly_02,True,0.07778324328104325,0.3310999489415937,0.1658106178879057,0.5298179538606593,6.1770164162968095,14.876626709499668,92.38651799793927,1513,1
225,weekly,3.0,weekly_03,True,0.07842646084109117,0.33570005035878314,0.1654545616461639,0.5270837878355568,6.2021237762776575,14.884232994723023,92.81513119613264,1513,2
225,weekly,4.0,weekly_04,True,0.0767198008798311,0.3249132447098355,0.16569482959528564,0.5509709879034939,6.406221538774465,14.882878374258011,95.9961863437413,1513,4
225,weekly,5.0,weekly_05,True,0.07280076979089278,0.30021148602582964,0.16627416321510902,0.5640326977678692,6.515161526555365,14.900698908403394,97.6342478414726,1513,263
225,monthly,1.0,monthly_01,True,0.0849845239711211,0.3659007137708173,0.16972136284389636,0.549115869122633,2.801950881215327,14.906223692100125,42.00278736215408,348,0
225,monthly,2.0,monthly_02,True,0.08142895004797457,0.34350470232825475,0.1704360769642232,0.561099266770808,2.8970207910034986,14.896268010611745,43.4059197192268,348,0
225,monthly,3.0,monthly_03,True,0.08371012264757671,0.3575638058115338,0.17011443970157866,0.5384569506078971,2.8672755639104346,14.900213324328766,42.97910041573541,348,0
225,monthly,4.0,monthly_04,True,0.08596527216679806,0.37354456672644154,0.1688738683987107,0.5354943258677882,2.8433075030943242,14.894760916200372,42.62297260305178,348,0
225,monthly,5.0,monthly_05,True,0.08153163891971027,0.3462631019090885,0.16937491298372542,0.5144294678877834,2.933009212536776,14.901696876755599,43.96506630084631,348,0
225,monthly,6.0,monthly_06,True,0.08022667488566304,0.3399890828564893,0.16866223538561181,0.5036639731523092,2.9457309111053642,14.925481458504644,44.19478737610204,348,0
225,monthly,7.0,monthly_07,True,0.08943371604765349,0.3953690132017444,0.16832467305502108,0.4378919763495719,2.8253287011378307,14.901940771488045,42.34248001527973,348,0
225,monthly,8.0,monthly_08,True,0.08465151545006422,0.36505155483578566,0.1692039342592757,0.519200525888271,2.893082841837775,14.904399055719622,43.35921477724261,348,0
225,monthly,9.0,monthly_09,True,0.08819699364375522,0.38284223114832266,0.17060196646400674,0.5105167419940395,2.9973289016890257,14.881660699487087,44.89704231413572,348,0
225,monthly,10.0,monthly_10,True,0.08712566966093438,0.37967406469900916,0.1692038500114029,0.5026637055014136,2.9797241964010595,14.901054386507932,44.64986555554245,348,0
225,monthly,11.0,monthly_11,True,0.09467349777999723,0.424617774915243,0.1690700339380365,0.4691299385287513,2.880907339209182,14.881223204148268,43.13172887927445,348,0
225,monthly,12.0,monthly_12,True,0.08952033338088916,0.3905036641847246,0.1706436669566909,0.5155662607531691,2.817329600614098,14.88050409781355,42.181592297834676,348,0
225,monthly,13.0,monthly_13,True,0.08854735515786083,0.38694344057637414,0.16969921726975662,0.5277867031039152,2.868611337684739,14.881914852081463,42.936728050539394,348,0
225,monthly,14.0,monthly_14,True,0.08719097574466717,0.377282861421554,0.17044935287540136,0.54694260282773,2.909057436787626,14.881256772994075,43.564351773120876,348,0
225,monthly,15.0,monthly_15,True,0.09225965265517155,0.41360444179849354,0.16773585938563942,0.4873161302212413,2.931851081093541,14.87638605462003,43.839934694717506,348,0
225,monthly,16.0,monthly_16,True,0.09313254914183755,0.41812324684023555,0.16801073250130993,0.4802639478007833,2.923515974685838,14.88092921725453,43.72350244211603,348,1
225,monthly,17.0,monthly_17,True,0.09203583172617313,0.4122283453415665,0.16775283976285238,0.4908550490425453,2.992992083079573,14.883990425891877,44.793261298740866,348,1
225,monthly,18.0,monthly_18,True,0.09156247469225787,0.40855937511770807,0.16810070386486053,0.4950970711687781,2.9933230137892504,14.8768171884981,44.79555501868242,348,1
225,monthly,19.0,monthly_19,True,0.08895073465435455,0.39347621210456,0.16790691903991045,0.5061049621503704,2.9862712521312,14.889390951803001,44.71162865553078,348,1
225,monthly,20.0,monthly_20,True,0.0885151638127799,0.38783480399388726,0.16922619365906827,0.5118605096394765,2.940033155849869,14.86030760264807,43.96774365716616,348,41
225,monthly,21.0,monthly_21,True,0.09029808514494131,0.3980655374094652,0.16935585386084911,0.5056984211681081,2.9024804559795614,14.882710601500376,43.439429581484355,347,115
225,semi_monthly,,semi_monthly,False,0.08360845242993165,0.3617179686102066,0.1678796784657012,0.5273478230089282,4.2662686813140525,14.861690529396355,63.84596529326599,695,0
250,daily,,daily,True,0.05305806126838908,0.18590974527564094,0.16230835591360038,0.6264550874373538,14.380482676961098,14.889829556200437,215.56714895132748,7299,0
250,weekly,1.0,weekly_01,True,0.0756780770616492,0.31979162336803113,0.16509100626599904,0.5585232735618937,6.244802178850204,14.891278401622113,93.53489310730457,1514,0
250,weekly,2.0,weekly_02,True,0.07732912029775396,0.32882361230425555,0.16557741626836867,0.516782375580729,5.846527374470881,14.896862940703862,87.61605881309727,1513,1
250,weekly,3.0,weekly_03,True,0.07607609559351136,0.3216762891892112,0.16536108260637025,0.5101830036803697,5.857347603756462,14.897282039330447,87.76169626863773,1513,2
250,weekly,4.0,weekly_04,True,0.078296425471859,0.3352953057686453,0.1652664631866651,0.5394271334404372,5.994689687228087,14.906767544222898,89.96924927602036,1513,4
250,weekly,5.0,weekly_05,True,0.07385195888507257,0.30687350870127506,0.16608994023757265,0.5633310104200269,6.117894926184302,14.90436112490927,91.74425721491308,1513,263
250,monthly,1.0,monthly_01,True,0.08715128707368458,0.3806992737056437,0.16881548074345137,0.5364852044430084,2.6434623635162326,14.920160952806224,39.682243692881904,348,0
250,monthly,2.0,monthly_02,True,0.08265104718115301,0.3529087366292243,0.16935735733729665,0.5523940030254992,2.7238460625037524,14.894106015051577,40.82590180936847,348,0
250,monthly,3.0,monthly_03,True,0.08685021247480695,0.378494491381434,0.16900340101901182,0.5063545532049021,2.6977474703034114,14.908078321289242,40.4661709612284,348,0
250,monthly,4.0,monthly_04,True,0.0862324354000632,0.3766118325636224,0.16820788344449547,0.5133614296184663,2.6823475544634876,14.897102401124597,40.231881235312706,348,0
250,monthly,5.0,monthly_05,True,0.08361763491974261,0.35904606480929396,0.16915455900517345,0.5003209824705056,2.718993124959093,14.901295759699765,40.77505466428213,348,0
250,monthly,6.0,monthly_06,True,0.08067887693349718,0.34278353448846466,0.16860646721366526,0.5135002932606165,2.776181036637324,14.946247682455825,41.7111750312941,348,0
250,monthly,7.0,monthly_07,True,0.08827119288347829,0.3909948391612089,0.16723452631592162,0.43241877291485387,2.678606680665246,14.922440697948538,40.19918979367421,348,0
250,monthly,8.0,monthly_08,True,0.08413441020999901,0.3636415088090431,0.16843801535808678,0.49879249133072634,2.717870695668262,14.908712562894014,40.76203963182234,348,0
250,monthly,9.0,monthly_09,True,0.08539700620697,0.36851180923157495,0.1696381187157628,0.5094039245943709,2.80312518815257,14.911575223850264,42.056219646040944,348,0
250,monthly,10.0,monthly_10,True,0.08563667412812159,0.3712919544266869,0.16901340633851233,0.5105429876049092,2.8122111183582845,14.889949854893807,42.158227950232614,348,0
